paper_id,test,has_es,verdict,note
10.1016:j.jsams.2020.09.011,t-test,FALSE,indeterminate,No parseable t(df)=value found.
10.1016:j.jsams.2020.09.011,t-test,TRUE,indeterminate,No parseable t(df)=value found.
10.1016:j.jsams.2020.09.011,t-test,FALSE,indeterminate,No parseable t(df)=value found.
10.1016:j.jsams.2020.09.011,t-test,TRUE,indeterminate,No parseable t(df)=value found.
10.1016:j.jsams.2020.09.011,t-test,FALSE,indeterminate,No parseable t(df)=value found.
10.1016:j.jsams.2020.09.011,t-test,TRUE,indeterminate,No parseable t(df)=value found.
10.1016:j.jsams.2020.09.011,t-test,TRUE,indeterminate,No parseable t(df)=value found.
10.1016:j.jsams.2020.09.011,t-test,TRUE,indeterminate,No parseable t(df)=value found.
10.1016:j.psychsport.2017.11.004,t-test,FALSE,indeterminate,No parseable t(df)=value found.
10.1016:j.psychsport.2017.11.004,t-test,FALSE,indeterminate,No parseable t(df)=value found.
10.1016:j.psychsport.2018.02.009,F-test,TRUE,match_under_assumptions,Match under partial eta-squared formula from F and dfs.
10.1016:j.psychsport.2018.02.009,F-test,TRUE,match_under_assumptions,Match under partial eta-squared formula from F and dfs.
10.1016:j.psychsport.2018.02.009,F-test,TRUE,match_under_assumptions,Match under partial eta-squared formula from F and dfs.
10.1016:j.psychsport.2018.02.009,t-test,TRUE,no_match,"No match under tested assumptions (paired dz, independent equal-n, independent unequal-n range). Tolerance = 0.01. A no-match can occur when fewer than 2 decimal places are reported."
10.1016:j.psychsport.2018.02.009,t-test,TRUE,no_match,"No match under tested assumptions (paired dz, independent equal-n, independent unequal-n range). Tolerance = 0.01. A no-match can occur when fewer than 2 decimal places are reported."
10.1016:j.psychsport.2018.02.009,F-test,TRUE,match_under_assumptions,Match under partial eta-squared formula from F and dfs.
10.1016:j.psychsport.2018.02.009,F-test,TRUE,no_match,No match under partial eta-squared formula from F and dfs. Tolerance = 0.01. A no-match can occur when fewer than 2 decimal places are reported.
10.1016:j.psychsport.2018.02.009,F-test,TRUE,match_under_assumptions,Match under partial eta-squared formula from F and dfs.
10.1016:j.psychsport.2018.02.009,F-test,TRUE,match_under_assumptions,Match under partial eta-squared formula from F and dfs.
10.1016:j.psychsport.2018.02.009,F-test,TRUE,match_under_assumptions,Match under partial eta-squared formula from F and dfs.
10.1016:j.psychsport.2018.02.009,F-test,TRUE,no_match,No match under partial eta-squared formula from F and dfs. Tolerance = 0.01. A no-match can occur when fewer than 2 decimal places are reported.
10.1016:j.psychsport.2018.02.009,F-test,TRUE,match_under_assumptions,Match under partial eta-squared formula from F and dfs.
10.1016:j.psychsport.2018.02.009,F-test,TRUE,match_under_assumptions,Match under partial eta-squared formula from F and dfs.
10.1016:j.psychsport.2018.02.009,F-test,TRUE,match_under_assumptions,Match under partial eta-squared formula from F and dfs.
10.1016:j.psychsport.2018.02.009,F-test,TRUE,match_under_assumptions,Match under partial eta-squared formula from F and dfs.
10.1016:j.psychsport.2018.02.009,F-test,TRUE,match_under_assumptions,Match under partial eta-squared formula from F and dfs.
10.1016:j.psychsport.2018.02.009,F-test,TRUE,no_match,No match under partial eta-squared formula from F and dfs. Tolerance = 0.01. A no-match can occur when fewer than 2 decimal places are reported.
10.1016:j.psychsport.2018.02.009,F-test,TRUE,match_under_assumptions,Match under partial eta-squared formula from F and dfs.
10.1016:j.psychsport.2018.02.009,F-test,TRUE,match_under_assumptions,Match under partial eta-squared formula from F and dfs.
10.1016:j.psychsport.2018.02.009,F-test,TRUE,no_match,No match under partial eta-squared formula from F and dfs. Tolerance = 0.01. A no-match can occur when fewer than 2 decimal places are reported.
10.1016:j.psychsport.2018.02.009,F-test,TRUE,match_under_assumptions,Match under partial eta-squared formula from F and dfs.
10.1016:j.psychsport.2018.02.009,F-test,TRUE,no_match,No match under partial eta-squared formula from F and dfs. Tolerance = 0.01. A no-match can occur when fewer than 2 decimal places are reported.
10.1016:j.psychsport.2018.02.009,t-test,FALSE,indeterminate,No parseable d effect size found.
10.1016:j.psychsport.2018.03.001,F-test,TRUE,match_under_assumptions,Match under partial eta-squared formula from F and dfs.
10.1016:j.psychsport.2018.03.001,F-test,TRUE,match_under_assumptions,Match under partial eta-squared formula from F and dfs.
10.1016:j.psychsport.2018.03.001,F-test,TRUE,match_under_assumptions,Match under partial eta-squared formula from F and dfs.
10.1016:j.psychsport.2018.03.001,F-test,TRUE,no_match,No match under partial eta-squared formula from F and dfs. Tolerance = 0.01. A no-match can occur when fewer than 2 decimal places are reported.
10.1016:j.psychsport.2018.03.001,F-test,TRUE,match_under_assumptions,Match under partial eta-squared formula from F and dfs.
10.1016:j.psychsport.2018.03.001,F-test,TRUE,match_under_assumptions,Match under partial eta-squared formula from F and dfs.
10.1016:j.psychsport.2018.03.001,F-test,TRUE,match_under_assumptions,Match under partial eta-squared formula from F and dfs.
10.1016:j.psychsport.2018.03.001,F-test,TRUE,match_under_assumptions,Match under partial eta-squared formula from F and dfs.
10.1016:j.psychsport.2018.03.001,F-test,TRUE,match_under_assumptions,Match under partial eta-squared formula from F and dfs.
10.1016:j.psychsport.2018.03.001,F-test,TRUE,match_under_assumptions,Match under partial eta-squared formula from F and dfs.
10.1016:j.psychsport.2018.06.010,t-test,FALSE,indeterminate,No parseable t(df)=value found.
10.1016:j.psychsport.2018.06.010,t-test,FALSE,indeterminate,No parseable t(df)=value found.
10.1016:j.psychsport.2018.06.010,F-test,FALSE,indeterminate,No parseable eta-squared effect size found.
10.1016:j.psychsport.2018.06.010,F-test,TRUE,match_under_assumptions,Match under partial eta-squared formula from F and dfs.
10.1016:j.psychsport.2018.06.010,F-test,TRUE,match_under_assumptions,Match under partial eta-squared formula from F and dfs.
10.1016:j.psychsport.2018.06.010,F-test,TRUE,no_match,No match under partial eta-squared formula from F and dfs. Tolerance = 0.01. A no-match can occur when fewer than 2 decimal places are reported.
10.1016:j.psychsport.2018.06.010,F-test,TRUE,no_match,No match under partial eta-squared formula from F and dfs. Tolerance = 0.01. A no-match can occur when fewer than 2 decimal places are reported.
10.1016:j.psychsport.2018.06.010,F-test,TRUE,no_match,No match under partial eta-squared formula from F and dfs. Tolerance = 0.01. A no-match can occur when fewer than 2 decimal places are reported.
10.1016:j.psychsport.2018.06.010,F-test,TRUE,no_match,No match under partial eta-squared formula from F and dfs. Tolerance = 0.01. A no-match can occur when fewer than 2 decimal places are reported.
10.1016:j.psychsport.2018.06.010,F-test,TRUE,no_match,No match under partial eta-squared formula from F and dfs. Tolerance = 0.01. A no-match can occur when fewer than 2 decimal places are reported.
